,Postcode,District,Area
0,80000,Johor Bahru,Johor Bahru
1,81100,Johor Bahru,Bandar Dato' Onn
2,80200,Johor Bahru,Danga Bay
3,81100,Johor Bahru,Johor Jaya
4,81100,Johor Bahru,Desa Jaya
5,81100,Johor Bahru,Ehsan Jaya
6,80350,Johor Bahru,Larkin
7,81200,Johor Bahru,Tampoi
8,81100,Johor Bahru,Tebrau
9,81800,Johor Bahru,Ulu Tiram
10,79100,Iskandar Puteri,Bukit Indah
11,81550,Iskandar Puteri,Gelang Patah
12,79100,Iskandar Puteri,Horizon Hills
13,79050,Iskandar Puteri,Kota Iskandar
14,79250,Iskandar Puteri,Medini Iskandar
15,81300,Iskandar Puteri,Skudai
16,81550,Iskandar Puteri,Tanjung Kupang
17,81500,Iskandar Puteri,Ulu Choh
18,81750,Pasir Gudang,Bandar Seri Alam
19,81750,Pasir Gudang,Masai
20,81750,Pasir Gudang,Permas Jaya
21,81750,Pasir Gudang, Tanjung Langsat
