,Postcode,District,Area
0,52100,Kepong,Jinjang
1,52100,Kepong,Taman Bukit Maluri
2,51200,Segambut,Bandar Menjalara
3,51200,Segambut,Bukit Kiara
4,51200,Segambut,Bukit Tunku
5,51200,Segambut,Damansara
6,51200,Segambut,Damansara Town Centre
7,51200,Segambut,Jalan Duta
8,51200,Segambut,Kampung Kasipillay
9,51200,Segambut,Kampung Sungai Penchala
10,51200,Segambut,Mont Kiara
11,51200,Segambut,Sri Hartamas
12,51200,Segambut,Taman Tun Dr Ismail
13,51000,Batu,Bandar Baru Sentul
14,51000,Batu,Sentul
15,53300,Wangsa Maju,Setapak
16,53300,Wangsa Maju,Taman Melati
17,53300,Wangsa Maju,Taman P. Ramlee
18,54200,Setiawangsa,Kampung Datuk Keramat
19,54200,Setiawangsa,Semarak
20,54200,Setiawangsa,Desa Tun Hussein Onn
21,53200,Titiwangsa,Ampang
22,53200,Titiwangsa,Jalan Cochrane
23,53200,Titiwangsa,Maluri
24,53200,Titiwangsa,Kampung Baru
25,53200,Titiwangsa,Kampung Pandan
26,50200,Bukit Bintang,KL Sentral
27,50200,Bukit Bintang,Bukit Nanas
28,50200,Bukit Bintang,Bukit Petaling
29,50200,Bukit Bintang,Chow Kit
30,50200,Bukit Bintang,Dang Wangi
31,50200,Bukit Bintang,Kampung Baru
32,50200,Bukit Bintang,KL City Centre
33,50200,Bukit Bintang,Medan Tuanku
34,50200,Bukit Bintang,Pudu
35,50200,Bukit Bintang,Salak South
36,50200,Bukit Bintang,Tun Razak Exchange
37,59100,Lembah Pantai,Bangsar
38,59100,Lembah Pantai,Bangsar South
39,59100,Lembah Pantai,Federal Hill
40,59100,Lembah Pantai,Kg Abdullah Hukum
41,59100,Lembah Pantai,Mid Valley City
42,59100,Lembah Pantai,Pantai Dalam
43,58000,Seputeh,Bandar Malaysia
44,58000,Seputeh,Bukit Jalil
45,58000,Seputeh,Bukit Petaling
46,58000,Seputeh,Happy Garden
47,58000,Seputeh,Kuchai Lama
48,58000,Seputeh,Sri Petaling
49,58000,Seputeh,Taman Desa
50,58000,Seputeh,Taman OUG
51,43200,Cheras,Alam Damai
52,43200,Cheras,Maluri
53,43200,Cheras,Pudu
54,43200,Cheras,Shamelin Perkasa
55,43200,Cheras,Taman Cheras Hartamas
56,43200,Cheras,Taman Connaught
57,43200,Cheras,Taman Midah
58,43200,Cheras,Taman Len Seng
59,43200,Cheras,Taman Taynton View
60,56000,Bandar Tun Razak,Bandar Sri Permaisuri
61,56000,Bandar Tun Razak,Bandar Tasik Selatan
62,56000,Bandar Tun Razak,Desa Petaling
63,56000,Bandar Tun Razak,Kampung Malaysia
64,56000,Bandar Tun Razak,Lake Fields
65,56000,Bandar Tun Razak,Sungai Besi
