Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
79000,Nusajaya,Johor,JHR,1.5014,103.6439
79100,Nusajaya,Johor,JHR,1.4835,103.6341
79150,Nusajaya,Johor,JHR,1.4968,103.6524
79200,Nusajaya,Johor,JHR,1.4836,103.6364
79250,Nusajaya,Johor,JHR,1.5034,103.6522
79502,Nusajaya,Johor,JHR,1.5014,103.6439
79503,Nusajaya,Johor,JHR,1.5014,103.6439
79504,Nusajaya,Johor,JHR,1.5014,103.6439
79505,Nusajaya,Johor,JHR,1.5014,103.6439
79511,Nusajaya,Johor,JHR,1.5014,103.6439
79513,Nusajaya,Johor,JHR,1.5014,103.6439
79514,Nusajaya,Johor,JHR,1.5014,103.6439
79517,Nusajaya,Johor,JHR,1.5014,103.6439
79518,Nusajaya,Johor,JHR,1.5014,103.6439
79520,Nusajaya,Johor,JHR,1.457,103.7623
79521,Nusajaya,Johor,JHR,1.5014,103.6439
79523,Nusajaya,Johor,JHR,1.5014,103.6439
79532,Nusajaya,Johor,JHR,1.5014,103.6439
79538,Nusajaya,Johor,JHR,1.5014,103.6439
79540,Nusajaya,Johor,JHR,1.5014,103.6439
79546,Nusajaya,Johor,JHR,1.5014,103.6439
79548,Nusajaya,Johor,JHR,1.5014,103.6439
79550,Nusajaya,Johor,JHR,1.5014,103.6439
79552,Nusajaya,Johor,JHR,1.5014,103.6439
79555,Nusajaya,Johor,JHR,1.5014,103.6439
79570,Nusajaya,Johor,JHR,6.1378,100.3711
79575,Nusajaya,Johor,JHR,1.5014,103.6439
79576,Nusajaya,Johor,JHR,1.5014,103.6439
79592,Nusajaya,Johor,JHR,1.5014,103.6439
79601,Nusajaya,Johor,JHR,1.5014,103.6439
79603,Nusajaya,Johor,JHR,1.5014,103.6439
79605,Nusajaya,Johor,JHR,1.5014,103.6439
79606,Nusajaya,Johor,JHR,1.5014,103.6439
79612,Nusajaya,Johor,JHR,1.5014,103.6439
79626,Nusajaya,Johor,JHR,1.4875,103.7518
79630,Nusajaya,Johor,JHR,1.4831,103.7541
79632,Nusajaya,Johor,JHR,1.4788,103.7416
79646,Nusajaya,Johor,JHR,1.5014,103.6439
79658,Nusajaya,Johor,JHR,1.5014,103.6439
79660,Nusajaya,Johor,JHR,1.5014,103.6439
79680,Nusajaya,Johor,JHR,1.5014,103.6439
79681,Nusajaya,Johor,JHR,1.5014,103.6439
79683,Nusajaya,Johor,JHR,1.5014,103.6439
80000,Johor Bahru,Johor,JHR,1.5035,103.7405
80050,Johor Bahru,Johor,JHR,1.4863,103.7713
80100,Johor Bahru,Johor,JHR,1.5041,103.7052
80150,Johor Bahru,Johor,JHR,1.5074,103.7329
80200,Johor Bahru,Johor,JHR,1.4977,103.7163
80250,Johor Bahru,Johor,JHR,1.5035,103.7404
80300,Johor Bahru,Johor,JHR,1.4757,103.7537
80350,Johor Bahru,Johor,JHR,1.5388,103.7012
80400,Johor Bahru,Johor,JHR,1.5017,103.7414
80500,Johor Bahru,Johor,JHR,1.4634,103.7547
80506,Johor Bahru,Johor,JHR,1.4634,103.7547
80508,Johor Bahru,Johor,JHR,1.4634,103.7547
80516,Johor Bahru,Johor,JHR,1.4634,103.7547
80519,Johor Bahru,Johor,JHR,1.4582,103.7501
80534,Johor Bahru,Johor,JHR,1.4634,103.7547
80536,Johor Bahru,Johor,JHR,1.4634,103.7547
80542,Johor Bahru,Johor,JHR,1.4634,103.7547
80546,Johor Bahru,Johor,JHR,1.4634,103.7547
80558,Johor Bahru,Johor,JHR,1.4634,103.7547
80560,Johor Bahru,Johor,JHR,1.4634,103.7547
80564,Johor Bahru,Johor,JHR,1.4634,103.7547
80568,Johor Bahru,Johor,JHR,1.4634,103.7547
80578,Johor Bahru,Johor,JHR,1.4634,103.7547
80584,Johor Bahru,Johor,JHR,1.4634,103.7547
80586,Johor Bahru,Johor,JHR,1.4583,103.7462
80590,Johor Bahru,Johor,JHR,1.4634,103.7547
80592,Johor Bahru,Johor,JHR,1.4634,103.7547
80594,Johor Bahru,Johor,JHR,1.4634,103.7547
80596,Johor Bahru,Johor,JHR,1.4634,103.7547
80600,Johor Bahru,Johor,JHR,1.4634,103.7547
80604,Johor Bahru,Johor,JHR,1.4634,103.7547
80608,Johor Bahru,Johor,JHR,1.4634,103.7547
80620,Johor Bahru,Johor,JHR,1.5384,103.7686
80622,Johor Bahru,Johor,JHR,1.4634,103.7547
80628,Johor Bahru,Johor,JHR,1.4634,103.7547
80644,Johor Bahru,Johor,JHR,1.4562,103.7613
80648,Johor Bahru,Johor,JHR,1.4634,103.7547
80662,Johor Bahru,Johor,JHR,1.4804,103.7426
80664,Johor Bahru,Johor,JHR,1.4634,103.7547
80668,Johor Bahru,Johor,JHR,1.4634,103.7547
80670,Johor Bahru,Johor,JHR,1.4634,103.7547
80672,Johor Bahru,Johor,JHR,1.4634,103.7547
80673,Johor Bahru,Johor,JHR,1.4712,103.7748
80676,Johor Bahru,Johor,JHR,1.4634,103.7547
80700,Johor Bahru,Johor,JHR,1.4634,103.7547
80710,Johor Bahru,Johor,JHR,1.4634,103.7547
80720,Johor Bahru,Johor,JHR,1.4634,103.7547
80730,Johor Bahru,Johor,JHR,1.4634,103.7547
80900,Johor Bahru,Johor,JHR,1.4634,103.7547
80902,Johor Bahru,Johor,JHR,1.4634,103.7547
